@relation Mammographic-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute Severity {0,1}

@data
0,116.047404,114.315353,124.707658,-1.732051,1
1.732051,76.210236,74.478185,83.138439,0,1
0,100.458947,98.726896,109.119201,0,1
1.732051,50.229473,48.497423,57.157677,0,0
1.732051,129.903811,126.439709,136.832014,-1.732051,1
1.732051,114.315353,112.583302,119.511506,0,0
0,121.243557,121.243557,128.17176,0,0
1.732051,74.478185,72.746134,81.406388,0,0
1.732051,100.458947,96.994845,107.38715,-1.732051,1
0,103.923048,102.190998,112.583302,-1.732051,1
1.732051,133.367912,131.635861,140.296115,-1.732051,1
0,72.746134,72.746134,79.674337,0,1
1.732051,112.583302,110.851252,117.779455,0,0
0,62.353829,62.353829,71.014083,0,0
0,103.923048,103.923048,112.583302,0,0
1.732051,95.262794,93.530744,102.190998,0,0
0,90.066642,90.066642,95.262794,-1.732051,0
0,102.190998,102.190998,110.851252,0,1
1.732051,95.262794,93.530744,102.190998,0,1
1.732051,71.014083,69.282032,76.210236,0,0
0,114.315353,114.315353,114.315353,0,1
0,96.994845,96.994845,105.655099,1.732051,1
1.732051,76.210236,74.478185,81.406388,0,0
0,72.746134,72.746134,81.406388,0,1
0,102.190998,102.190998,109.119201,-1.732051,1
0,129.903811,128.17176,138.564065,0,1
1.732051,116.047404,114.315353,119.511506,0,0
0,109.119201,109.119201,117.779455,0,0
0,77.942286,76.210236,86.60254,0,1
0,95.262794,95.262794,103.923048,0,0
1.732051,81.406388,77.942286,86.60254,-1.732051,0
0,93.530744,93.530744,102.190998,0,1
0,98.726896,98.726896,107.38715,0,1
1.732051,69.282032,67.549981,76.210236,0,0
1.732051,142.028166,140.296115,148.956369,0,0
0,133.367912,133.367912,140.296115,0,0
0,103.923048,103.923048,112.583302,0,0
0,116.047404,116.047404,124.707658,-1.732051,1
0,83.138439,81.406388,90.066642,0,1
0,95.262794,95.262794,102.190998,-1.732051,0
0,102.190998,102.190998,110.851252,0,0
1.732051,136.832014,135.099963,143.760217,0,0
1.732051,88.334591,86.60254,95.262794,0,0
0,105.655099,105.655099,114.315353,0,0
0,107.38715,105.655099,116.047404,-1.732051,1
0,76.210236,76.210236,84.87049,-1.732051,1
0,110.851252,109.119201,119.511506,0,1
1.732051,41.569219,39.837169,48.497423,0,0
0,72.746134,72.746134,76.210236,0,0
0,116.047404,114.315353,124.707658,0,1
0,128.17176,128.17176,136.832014,0,0
0,138.564065,136.832014,147.224319,-1.732051,1
1.732051,41.569219,39.837169,48.497423,0,0
0,109.119201,109.119201,117.779455,0,0
0,91.798693,90.066642,98.726896,-1.732051,1
0,74.478185,74.478185,81.406388,-1.732051,0
0,84.87049,84.87049,93.530744,0,0
0,88.334591,88.334591,96.994845,-1.732051,0
0,77.942286,77.942286,86.60254,0,0
0,102.190998,102.190998,110.851252,0,1
0,90.066642,90.066642,98.726896,1.732051,1
0,103.923048,103.923048,112.583302,1.732051,1
0,98.726896,96.994845,105.655099,-1.732051,0
0,98.726896,98.726896,105.655099,0,0
0,128.17176,128.17176,136.832014,0,1
0,43.30127,43.30127,51.961524,0,0
1.732051,86.60254,84.87049,93.530744,0,0
0,124.707658,124.707658,133.367912,1.732051,1
0,77.942286,77.942286,86.60254,0,0
0,110.851252,110.851252,119.511506,0,0
0,126.439709,126.439709,135.099963,0,0
0,117.779455,117.779455,126.439709,1.732051,1
0,90.066642,88.334591,98.726896,0,0
0,114.315353,114.315353,122.975607,0,1
0,121.243557,121.243557,129.903811,-1.732051,1
1.732051,45.033321,43.30127,51.961524,0,0
1.732051,129.903811,128.17176,138.564065,0,1
1.732051,112.583302,110.851252,119.511506,0,0
0,103.923048,103.923048,112.583302,1.732051,1
0,116.047404,116.047404,124.707658,-1.732051,0
0,116.047404,114.315353,122.975607,0,0
0,76.210236,76.210236,84.87049,0,1
1.732051,119.511506,117.779455,124.707658,0,1
0,98.726896,98.726896,105.655099,-1.732051,0
0,88.334591,88.334591,96.994845,1.732051,1
1.732051,58.889727,57.157677,64.08588,0,0
0,100.458947,100.458947,109.119201,0,1
1.732051,64.08588,62.353829,71.014083,0,0
1.732051,110.851252,109.119201,117.779455,0,0
1.732051,109.119201,105.655099,116.047404,-1.732051,1
0,126.439709,126.439709,133.367912,-1.732051,1
0,138.564065,138.564065,145.492268,0,1
1.732051,117.779455,116.047404,124.707658,0,0
0,102.190998,102.190998,112.583302,0,1
1.732051,105.655099,103.923048,112.583302,0,0
0,93.530744,93.530744,102.190998,0,1
1.732051,71.014083,69.282032,77.942286,0,0
0,81.406388,81.406388,90.066642,0,0
0,107.38715,107.38715,116.047404,0,0
0,57.157677,57.157677,65.817931,0,0
0,102.190998,102.190998,110.851252,0,0
0,112.583302,112.583302,119.511506,0,0
0,100.458947,100.458947,107.38715,0,0
0,50.229473,50.229473,57.157677,0,0
1.732051,102.190998,100.458947,109.119201,0,0
1.732051,95.262794,93.530744,102.190998,0,0
1.732051,77.942286,76.210236,84.87049,0,1
0,58.889727,58.889727,65.817931,0,0
1.732051,100.458947,98.726896,107.38715,0,0
0,57.157677,57.157677,65.817931,0,1
0,77.942286,77.942286,84.87049,0,0
0,122.975607,122.975607,131.635861,0,1
0,102.190998,102.190998,110.851252,0,0
0,96.994845,96.994845,105.655099,0,0
0,69.282032,69.282032,76.210236,-1.732051,0
1.732051,98.726896,96.994845,105.655099,0,0
0,77.942286,77.942286,86.60254,0,0
0,98.726896,98.726896,107.38715,0,0
0,95.262794,95.262794,103.923048,-1.732051,1
0,145.492268,143.760217,154.152522,0,0
0,88.334591,88.334591,96.994845,0,1
1.732051,76.210236,74.478185,83.138439,0,0
0,41.569219,41.569219,50.229473,0,0
1.732051,116.047404,114.315353,122.975607,0,0
0,57.157677,57.157677,65.817931,0,0
0,102.190998,102.190998,109.119201,1.732051,0
0,131.635861,131.635861,138.564065,0,0
1.732051,71.014083,69.282032,77.942286,0,0
0,90.066642,90.066642,96.994845,-1.732051,0
0,69.282032,67.549981,77.942286,0,1
0,116.047404,116.047404,124.707658,0,1
0,129.903811,129.903811,138.564065,1.732051,1
0,148.956369,148.956369,157.616623,0,0
0,103.923048,103.923048,110.851252,0,0
0,114.315353,114.315353,122.975607,0,1
0,79.674337,77.942286,88.334591,0,1
0,102.190998,102.190998,109.119201,0,1
0,112.583302,112.583302,121.243557,0,1
1.732051,93.530744,91.798693,100.458947,0,0
0,116.047404,114.315353,124.707658,-1.732051,1
0,138.564065,136.832014,147.224319,0,1
0,95.262794,95.262794,103.923048,0,0
1.732051,84.87049,83.138439,91.798693,0,0
1.732051,83.138439,81.406388,90.066642,0,0
0,86.60254,86.60254,95.262794,0,0
0,107.38715,105.655099,116.047404,0,1
0,109.119201,109.119201,117.779455,0,1
0,109.119201,109.119201,116.047404,1.732051,1
0,122.975607,122.975607,129.903811,0,1
1.732051,72.746134,71.014083,79.674337,0,0
0,98.726896,98.726896,107.38715,0,1
0,122.975607,122.975607,131.635861,0,1
1.732051,116.047404,114.315353,122.975607,0,0
0,81.406388,81.406388,88.334591,-1.732051,0
0,58.889727,58.889727,64.08588,0,0
0,102.190998,102.190998,109.119201,-1.732051,0
0,95.262794,95.262794,103.923048,0,1
0,88.334591,88.334591,95.262794,0,0
